isbn,title,authors,publish_date,num_of_pages,genre
9781481424271,The Grace of Kings (The Dandelion Dynasty),OL4094327A,"Apr 07, 2015",640.0,"fiction, adventure, fantasy"
9780316055437,The Goldfinch,,2013,771.0,"fiction, thriller"
9780593558737,Memphis,OL9247874A,2022,,
9781607066774,Happy!,OL49934A,2013,,
9781501128035,The Unhoneymooners,OL7320009A,2019-05-14,416.0,"fiction, romance"
9780545880060,George,OL7283212A,2015,1.0,fiction
9781668008003,Golden Spoon,OL10535282A,2023,,
9780593335215,Witcha Gonna Do?,OL7779961A,2022,,
9780759556317,Drowned Woods,OL7408061A,2022,,
9781649377173,Apprentice to the Villain,OL12581239A,2024,,"fiction, romance, mystery, fantasy"
9780593136638,diagnosis,,2019,289.0,
9781101947135,Homegoing,,2016-06,309.0,"history, fiction"
9780316462808,Half a Soul,OL7957069A,2022,,
9781338048100,Rick,,2020,,"fiction, young adult"
9781982191139,Kiss Her Once for Me,OL9322035A,2022,,
9781529935523,Blood Over Bright Haven,OL15519449A,"Oct 01, 2024",429.0,
9781416524793,Angels & Demons,,2006-04,713.0,"fiction, thriller, mystery, adventure"
9780786851973,It's Kind of a Funny Story,,2007,452.0,fiction
9788420416601,Fungirl,,2014,,
9780307341563,Dark places,OL1433006A,2009,349.0,"fiction, mystery"
9781408884423,House of Sky and Breath,OL7115219A,2022,768.0,"fiction, adventure, fantasy, romance, science fiction"
9781472285560,Very Merry Bromance,OL7671617A,2022,,
9780063225138,Nic Blake and the Remarkables,OL7370073A,"Apr 04, 2023",304.0,fiction
9780063252363,"Wrong Place, Wrong Time",OL7637551A,2022,,"fiction, thriller"
9780316067928,Breaking Dawn,,2008-08,,"fantasy, fiction, mystery, horror, young adult, romance"
9780060530921,The Graveyard Book,,"June 24, 2008",192.0,"fiction, science fiction, fantasy"
9780525511854,How Fascism Works,OL2669375A,2020-05-26,256.0,history
9781476712840,After I do,OL7290222A,2014,336.0,fiction
9780613237529,The Perks Of Being A Wallflower,OL76675A,"Feb 01, 1999",224.0,"fiction, young adult"
9781335284808,Last Bookshop in London,OL7527494A,2021,320.0,"history, fiction, romance"
9780345539823,Golden Son,OL7621609A,2015,,"fiction, science fiction, adventure, dystopia fiction"
9780593448120,"You, Again",OL12444650A,2023,,
9780356504889,The Fifth Season,,2015,464.0,"fiction, science fiction, dystopia fiction, fantasy"
9780312422158,Middlesex,OL720924A,"September 16, 2003",544.0,fiction
9781250787774,Never Fall for Your Fiancee,OL2515324A,2021,320.0,"history, fiction, romance"
9781720193869,The Sword of Kaigen,OL3153669A,"Feb 13, 2019",649.0,"fiction, science fiction, fantasy"
9780440000389,Wedding Date - Limited Signed Edition For Target Diverse Book Clug,OL7513322A,2018-01-01,,"fiction, romance"
9780345539847,Morning Star,OL7621609A,"Sep 27, 2016",544.0,"fiction, science fiction, dystopia fiction"
9781250153272,A Wrinkle in Time Movie Tie-In Edition (A Wrinkle in Time Quintet),OL28188A,"Nov 07, 2017",256.0,"fiction, adventure, fantasy, young adult, romance, science fiction"
9781982185848,I'm Glad My Mom Died,OL10032819A,2022-08,320.0,non-fiction
9781957779065,The Ashes and the Star-Cursed King,OL9077479A,"Apr 09, 2023",624.0,"fiction, romance, fantasy"
9780593336403,Delilah Green Doesn't Care,OL7290290A,2022,,
9780525620785,Mexican Gothic,OL7481396A,2020,320.0,
9780307346605,World War Z,OL1482402A,"September 12, 2006",352.0,"fiction, adventure, horror"
9781639730964,Crown of Midnight,OL7115219A,2023,448.0,"fiction, romance, fantasy"
9780385544238,"My sister, the serial killer",OL7543762A,2018,226.0,fiction
9781476746586,All the Light We Cannot See,,2014-05,,"history, fiction"
9780060513030,Where the Sidewalk Ends,OL548174A,November 2002,176.0,fiction
9780140120837,Perfume (International Writers),OL276700A,"January 26, 1989",272.0,"history, fiction, thriller, mystery, fantasy, romance"
9780063279025,Everyone in My Family Has Killed Someone,OL7619954A,2023,,
9781534441606,Legendborn,OL8028049A,"Sep 15, 2020",512.0,"fiction, young adult, romance, fantasy"
9780618346257,The Fellowship of the Ring,,2003,398.0,"history, fiction, adventure, fantasy, young adult"
9780143038412,"Eat, pray, love",OL30835A,2007,334.0,non-fiction
9780143137146,Her Majesty's Royal Coven,OL7542797A,2022,,
9781635575569,A Court of Thorns and Roses,OL7115219A,2020,448.0,"fiction, romance, fantasy"
9780593336830,The Love Hypothesis,OL9096427A,2021,374.0,"fiction, romance"
B08ZBJ4LXX,The Dungeon Anarchist’s Cookbook,,2021-03-19,532.0,fantasy
9781492637257,The other Einstein,OL7512643A,2016,296.0,fiction
9781619632219,Assassin's Blade,OL7115219A,Mar 04 2014,195.0,"fiction, young adult, fantasy"
9781429914550,Elantris,OL1394865A,2007,,"fiction, fantasy"
9780385547253,Several People Are Typing,OL9176180A,2021,,fiction
9781600102370,Locke & Key,OL2631898A,2008,158.0,"fiction, mystery, thriller, horror"
9781101874936,Lab Girl,,2016,290.0,"fiction, non-fiction"
9780593156599,The Spear Cuts Through Water,OL7822013A,2022,,
9781335534644,Long Game,OL7991171A,2024,416.0,"fiction, romance"
9781476754451,Mr. Mercedes,,2014-06,437.0,"fiction, thriller, mystery, adventure, horror"
9781335009296,Kilt Trip,OL13537363A,2024,,
9780063055988,River Enchanted,OL372281A,2022,,
9781250313089,Ninth House,OL7032054A,2019,448.0,"horror, fiction, thriller, fantasy"
9798989848102,Icebound,OL13614180A,2024,,"fiction, romance"
9780593440940,Pride and Protest,OL10391928A,2022,,
9780575079793,The Blade Itself,OL2801083A,"March 8, 2007",544.0,fantasy
9780008596965,Faebound 1,OL9588560A,2023,,
9781501115066,My Grandmother Asked Me to Tell You She's Sorry,,2015,372.0,"fiction, fantasy"
9780316228534,The Casual Vacancy,OL23919A,"September 27, 2012",503.0,fiction
9781982185824,I'm Glad My Mom Died,,9th August 2022,320.0,non-fiction
9780007442911,Insurgent,,"May 1, 2012",525.0,"fiction, adventure, dystopia fiction, young adult, romance, science fiction"
9781665939270,Curious Tides,OL12917088A,2023,,fiction
9781250624185,How to Love Your Neighbor,OL7998871A,2022,352.0,
9780778311010,Lost Apothecary,OL8374201A,2021,320.0,"history, fiction"
9781594634475,Fates and Furies,,2015,,"fiction, romance"
9781250258571,Ones We're Meant to Find,OL7637183A,2021,336.0,"fiction, young adult, science fiction, dystopia fiction"
9781250095251,Caraval,OL7387659A,2017,407.0,"fiction, fantasy"
9780345481283,His Majesty's Dragon,,"March 28, 2006",,"history, fiction, young adult, fantasy"
9780593468838,Thistlefoot,OL7544289A,2022,304.0,
9781472223791,Hamnet,OL1412763A,2020,352.0,"history, fiction"
9781948463553,House of Beating Wings,OL7788479A,2022,,"fiction, romance, fantasy"
9780062409850,Go Set A Watchman,,"July 14, 2015",288.0,"history, fiction"
9781938103087,The suicide of Claire Bishop,OL7602571A,2015,386.0,fiction
9781638931799,Leather & Lark,OL11322365A,"June 4, 2024",390.0,fiction
9781984881908,Professional Troublemaker,OL7512261A,"Mar 02, 2021",304.0,
9780525657743,Crying in H Mart,OL8593997A,"Apr 20, 2021",256.0,"fiction, non-fiction"
9781501169656,Tell Me Lies,OL7416556A,"Feb 05, 2019",384.0,"fiction, romance"
B08GB58KD5,Project Hail Mary,,2021-05-04,,"fiction, thriller, science fiction, adventure"
9781541411159,The 7 1/2 deaths of Evelyn Hardcastle,OL7422803A,2018,17.0,fiction
9781612130293,Fifty shades of Grey,OL7093600A,2015,514.0,fiction
9780804179034,Uprooted,,"May 19, 2015",438.0,"fiction, adventure, fantasy, romance, science fiction"
9781400032716,The Curious Incident of the Dog in the Night-Time,,2003,226.0,"fiction, young adult, mystery"
9781955905251,Hey Hun,OL9790139A,2023,,history
9780593593806,Spare,OL10393689A,2023,,fiction
9780440000174,The Sun Down Motel,,2020,,"fiction, thriller, horror"
9781250859884,What Lies in the Woods,OL7539796A,2023,,
9780593099605,Year of the Witching,OL7906240A,2020,368.0,
9780063211506,A Study in Drowning,OL9111005A,"September 19, 2023",378.0,
9780140280098,Bridget Jones's Diary,,1999,,"fiction, romance"
9781982189105,Chef's Choice,OL10031498A,2023,,
9781619636101,Kingdom of Ash,OL7115219A,2018,984.0,fiction
9780786888160,The Essential 55,OL721697A,June 2004,224.0,
9780205518869,Making Content Comprehensible for English Learners,"OL31426A, OL1478132A, OL2672363A","April 25, 2007",288.0,
9780684850627,The [walrus] was Paul,OL232934A,1998,208.0,
9780525510871,Fleishman is in Trouble,,2019,373.0,fiction
1439102813,Still Alice,OL3493191A,2008,293.0,fiction
9781250860026,Looking Glass Sound,OL7613818A,2023,,
9780812550702,Ender's Game,,1996?,324.0,"fiction, science fiction"
9780593817360,Princess and the P. I.,OL10391928A,2025,432.0,
9781250838810,Lost Library,"OL2675876A, OL7976696A",2023,,
9781938570445,Yumi and the Nightmare Painter,,2023-07-11,,"fiction, fantasy"
9780670069019,The Girl with the Dragon Tattoo,OL1414302A,2008,465.0,fiction
9781631495731,Jesus and John Wayne,OL7987348A,"Jun 23, 2020",368.0,"history, fiction"
9780063044906,Concrete Rose CD,OL7370073A,"Jan 12, 2021",,"history, fiction, young adult, mystery"
9781984806758,People We Meet On Vacation,OL7410858A,"May 11, 2021",384.0,"fiction, romance"
9780765316882,The Well of Ascension,OL1394865A,2007,592.0,"fiction, science fiction, fantasy"
9780385513227,The Da Vinci Code,,2004,,"history, fiction, thriller, mystery, adventure"
9781250873309,Cleat Cute,OL7898438A,2023,,
9781915202680,Evocation,OL10069348A,2024,,
9780316216814,Broken Monsters,OL6705064A,"Jun 16, 2015",464.0,"fiction, mystery, thriller"
9780735224995,Northern Spy,OL7290288A,"Mar 02, 2021",288.0,"fiction, thriller"
B07DCTFR2K,Game Changer,OL7991171A,2018,400.0,"fiction, romance"
9780063253469,Ink Blood Sister Scribe,OL10664056A,2023,416.0,
9781525831515,The Things We Cannot Say,OL7535148A,"Mar 19, 2019",432.0,"history, fiction"
9781250857439,Divine Rivals,OL372281A,2023,368.0,
9781984896384,Good Girl's Guide to Murder,OL7722491A,2020,400.0,"fiction, young adult, mystery, thriller"
9781982149116,Yellow Wife,OL7593173A,"Jan 18, 2022",288.0,"history, fiction"
9781524763138,Becoming,OL7119254A,"Nov 13, 2018",448.0,"history, fiction, non-fiction"
9781476738017,A Man Called Ove,,2014,337.0,"fiction, romance"
9780385547345,Lessons in Chemistry,OL9587269A,2022,400.0,
9781648980442,Witch Collector,OL7989841A,2021,,"fiction, romance, fantasy"
9781534454415,The Witch Hunt,OL9350537A,"Oct 11, 2022",352.0,
9780439023498,Catching Fire,,2009,,"fantasy, fiction, adventure, dystopia fiction, young adult, science fiction"
9780440242949,Outlander,OL531502A,"July 26, 2005",896.0,"history, fiction, romance, fantasy"
9781534469013,Amara and the Bats,"OL8138055A, OL8138055A","Jul 20, 2021",48.0,fiction
9780525953500,The Stranger,,2015,,"fiction, thriller"
9780062457790,They Both Die at the End,OL7404795A,2017,373.0,"fiction, romance, adventure"
9780593500149,Emily Wilde's Encyclopaedia of Faeries,OL3072525A,"January 10, 2023",352.0,"fiction, romance, fantasy"
9780356519500,Two Twisted Crowns,OL9623868A,"October 19, 2023",430.0,fiction
9781338745313,Honeys,OL7819482A,2022,352.0,
9781101883075,Lilac Girls,,2016,487.0,"history, fiction"
9781631496707,"Kim Jiyoung, born 1982",,2020,176.0,fiction
9780553448122,Artemis,,2017,305.0,"fiction, thriller, science fiction, adventure"
9780553804645,Blindspot,OL7122459A,2013,254.0,
9780060929879,Brave New World,,2001,270.0,"history, fiction, science fiction, dystopia fiction"
9780593336489,Dead Romantics,OL7504123A,2022,,
9781250268396,Once Upon a Broken Heart,OL7387659A,"Sep 28, 2021",408.0,fiction
9780142001745,The  secret life of bees,OL448584A,2003,302.0,fiction
9780063083578,Hedgewitch of Foxhall,OL7634079A,2024,,
9780356519326,Education in Malice,OL10069348A,2023,,
9780593816134,Love of My Afterlife,OL7318250A,2024,,
9780316540223,"Sophia, Princess Among Beasts","OL6812710A, OL6826628A","Apr 06, 2021",320.0,fiction
9780062652119,My Lady Jane,,"June 7, 2016",512.0,"history, fiction, fantasy"
9781250801869,Fake It till You Bake It,OL9113300A,2022,,
9781250241702,Finlay Donovan Is Killing It,OL7519700A,2021,368.0,"fiction, mystery"
9780452286535,Jane Austen book club,,2005,,"fiction, romance"
9780374602604,"Beautiful World, Where Are You",OL7919580A,"Sep 07, 2021",240.0,fiction
9780007524273,Allegiant,,2013,526.0,"fiction, dystopia fiction, young adult, romance, science fiction"
9781250266101,Rock Paper Scissors,OL7458898A,"Sep 07, 2021",304.0,"fiction, thriller"
9780525560555,Hood Feminism,OL7940900A,2020,288.0,
9780735269934,Iron Widow,OL9098501A,"Sep 21, 2021",384.0,"fiction, science fiction, fantasy"
9781496737298,"Georgie, All Along",OL7967568A,2023,,
9780593647011,Dungeons and Drama,OL8413140A,2024,,
9781778126963,Trial of the Sun Queen,OL10570595A,"Oct 26, 2022",405.0,
9780525539001,This Time Tomorrow,OL7027813A,2022,,
9781668026281,Wildfire,OL2992103A,2023,,"fiction, romance"
9781585673698,True grit,OL18901A,2003,215.0,fiction
9780316098793,The rook,OL6946524A,2012,,"fiction, horror"
9781524798642,Daisy Jones & the Six,OL7290222A,2020,400.0,"history, fiction"
9781619636071,Empire of Storms,,"September 6, 2016",704.0,"fiction, adventure, fantasy, young adult, romance"
9781250217325,The House in the Cerulean Sea,OL7613274A,"Feb 02, 2021",416.0,"fantasy, fiction, horror, young adult, science fiction"
9781432883614,The Midnight Library,OL1416857A,"Jan 27, 2021",,"fiction, science fiction, fantasy"
9780062060631,The Song of Achilles,OL1926056A,2012,,"history, fiction"
9781409155843,Red Queen,OL7276129A,"Oct 30, 2015",,"fiction, adventure, fantasy, young adult, romance, science fiction"
9781534439054,Rival Magic,OL6472432A,2020,256.0,"fiction, fantasy"
9781959442110,Royally in Trouble,OL7904952A,2023,,"fiction, romance"
